scenario,month,perc_fs,perc_fs_beneficiaries,perc_stamps
D,M9,-0.0730954261506423,0.4264097134283252,0.5627141268151084
D,M10,-0.0728294333593631,0.4264097134283252,0.5627141268151084
D,M11,-0.0727622506495023,0.4264097134283252,0.5627141268151084
D,M12,-0.0726474977971987,0.4264097134283252,0.5627141268151084
D,M13,-0.072196648205423,0.4264097134283252,0.5627141268151084
D,M14,-0.0721542887969794,0.4264097134283252,0.5627141268151084
D,M15,-0.0715275029679461,0.4264097134283252,0.5627141268151084
D,M16,-0.0716515949070951,0.4264097134283252,0.5627141268151084
D,M17,-0.0714170011338883,0.4264097134283252,0.5627141268151084
D,M18,-0.0715204852018824,0.4264097134283252,0.5627141268151084
D,M19,-0.0716284426369629,0.4264097134283252,0.5627141268151084
D,M20,-0.0717094901678443,0.4264097134283252,0.5627141268151084
D,M21,-0.0718187790807555,0.4264097134283252,0.5627141268151084
D,M22,-0.0718521918338322,0.4264097134283252,0.5627141268151084
D,M23,-0.0717654258765931,0.4264097134283252,0.5627141268151084
D,M24,-0.0719518341192982,0.4264097134283252,0.5627141268151084
E,M7,-0.0067866600834863,0.0260244963979015,0.0371364837796704
E,M8,-0.0063589006646312,0.0260244963979015,0.0371364837796704
E,M9,-0.0063276369641703,0.0260244963979015,0.0371364837796704
E,M10,-0.0061484054536803,0.0260244963979015,0.0371364837796704
E,M11,-0.0064545707890214,0.0260244963979015,0.0371364837796704
E,M12,-0.0064195932459407,0.0260244963979015,0.0371364837796704
E,M13,-0.0061857153132411,0.0260244963979015,0.0371364837796704
E,M14,-0.0062938320445963,0.0260244963979015,0.0371364837796704
E,M15,-0.0061067741123141,0.0260244963979015,0.0371364837796704
E,M16,-0.0061636748099158,0.0260244963979015,0.0371364837796704
E,M17,-0.0059214197008692,0.0260244963979015,0.0371364837796704
E,M18,-0.0060470264287452,0.0260244963979015,0.0371364837796704
E,M19,-0.0060012776333193,0.0260244963979015,0.0371364837796704
E,M20,-0.0059757908473201,0.0260244963979015,0.0371364837796704
E,M21,-0.0059758984097275,0.0260244963979015,0.0371364837796704
E,M22,-0.0060926770881137,0.0260244963979015,0.0371364837796704
E,M23,-0.0061019511843905,0.0260244963979015,0.0371364837796704
E,M24,-0.0061287303358648,0.0260244963979015,0.0371364837796704
B,M7,0.0,0.0,0.0
B,M8,0.0,0.0,0.0
B,M9,0.0,0.0,0.0
B,M10,0.0,0.0,0.0
B,M11,0.0,0.0,0.0
B,M12,0.0,0.0,0.0
B,M13,0.0,0.0,0.0
B,M14,0.0,0.0,0.0
B,M15,0.0,0.0,0.0
B,M16,0.0,0.0,0.0
B,M17,0.0,0.0,0.0
B,M18,0.0,0.0,0.0
B,M19,0.0,0.0,0.0
B,M20,0.0,0.0,0.0
B,M21,0.0,0.0,0.0
B,M22,0.0,0.0,0.0
B,M23,0.0,0.0,0.0
B,M24,0.0,0.0,0.0
